Post code,Arrondissement name (Dutch),Arrondissement name (French)
3530,Maaseik,
3580,Hasselt,
3742,Tongeren,Tongres
3791,Tongeren,Tongres
3798,Tongeren,Tongres
8460,Oostende,
8582,Kortrijk,Courtrai
8640,Ieper,Ypres
8690,Veurne,
8791,Kortrijk,Courtrai
8880,Roeselare,
6600,,Bastogne
6688,,Bastogne
6692,,Bastogne
6980,,Marche-en-Famenne
1860,Halle-Vilvoorde,Hal-Vilvorde
1650,Halle-Vilvoorde,Hal-Vilvorde
1742,Halle-Vilvoorde,Hal-Vilvorde
8370,Brugge,
8430,Oostende,
8680,Diksmuide,
8740,Tielt,
8900,Ieper,Ypres
6662,,Bastogne
6672,,Bastogne
6860,,Neufchâteau
6970,,Marche-en-Famenne
1831,Halle-Vilvoorde,Hal-Vilvorde
3320,Leuven,
5500,,Dinant
5022,,Namur
5541,,Dinant
5542,,Dinant
5520,,Dinant
3550,Hasselt,
3793,Tongeren,Tongres
3803,Hasselt,
3830,Tongeren,Tongres
3831,Tongeren,Tongres
9500,Aalst,
4607,,Liège
4730,,Verviers
4050,,Liège
4601,,Liège
4784,,Verviers
4920,,Liège
4042,,Liège
7320,Aat,Ath
7830,Aat,Ath
7641,Doornik en Moeskroen,Tournai et Mouscron
1040,Brussel-Hoofdstad,Bruxelles-Capitale
1342,,Nivelles
1472,,Nivelles
2200,Turnhout,
2900,Antwerpen,
2240,Antwerpen,
2940,Antwerpen,
5523,,Dinant
3800,Hasselt,
3941,Maaseik,
8554,Kortrijk,Courtrai
8904,Ieper,Ypres
8954,Ieper,Ypres
8956,Ieper,Ypres
8970,Ieper,Ypres
6900,,Marche-en-Famenne
3200,Leuven,
1674,Halle-Vilvoorde,Hal-Vilvorde
3054,Leuven,
3010,Leuven,
3053,Leuven,
1105,Brussel-Hoofdstad,Bruxelles-Capitale
1050,Brussel-Hoofdstad,Bruxelles-Capitale
2320,Turnhout,
2321,Turnhout,
2531,Antwerpen,
9200,Dendermonde,
9991,Eeklo,
9180,Gent,
9980,Eeklo,
9881,Gent,
9571,Oudenaarde,Audenarde
4163,,Huy
4990,,Verviers
4450,,Liège
4970,,Verviers
4053,,Liège
4681,,Liège
7512,Doornik en Moeskroen,Tournai et Mouscron
7620,Doornik en Moeskroen,Tournai et Mouscron
6142,,Charleroi
7862,Aat,Ath
7300,,Mons
5333,,Namur
3650,Maaseik,
3665,Hasselt,
3720,Tongeren,Tongres
3970,Hasselt,
8770,Roeselare,
6640,,Bastogne
6660,,Bastogne
6687,,Bastogne
6717,,Arlon
6761,,Virton
6950,,Marche-en-Famenne
6990,,Marche-en-Famenne
3381,Leuven,
3052,Leuven,
1673,Halle-Vilvoorde,Hal-Vilvorde
1570,Halle-Vilvoorde,Hal-Vilvorde
3140,Leuven,
9032,Gent,
9630,Oudenaarde,Audenarde
9130,Sint-Niklaas,
4540,,Huy
4367,,Waremme
4834,,Verviers
4602,,Liège
4020,,Liège
4300,,Waremme
4608,,Liège
7712,Doornik en Moeskroen,Tournai et Mouscron
6032,,Charleroi
1081,Brussel-Hoofdstad,Bruxelles-Capitale
1050,Brussel-Hoofdstad,Bruxelles-Capitale
2330,Turnhout,
2500,Mechelen,
8650,Diksmuide,
8750,Tielt,
3294,Leuven,
1750,Halle-Vilvoorde,Hal-Vilvorde
9472,Aalst,
9680,Oudenaarde,Audenarde
9450,Aalst,
9401,Aalst,
9820,Gent,
4432,,Liège
4102,,Liège
4160,,Huy
4960,,Verviers
4630,,Liège
7784,Doornik en Moeskroen,Tournai et Mouscron
6240,,Charleroi
6041,,Charleroi
7750,Doornik en Moeskroen,Tournai et Mouscron
6140,,Charleroi
7941,Aat,Ath
7350,,Mons
7170,Zinnik,Soignies
7780,Doornik en Moeskroen,Tournai et Mouscron
1041,Brussel-Hoofdstad,Bruxelles-Capitale
1046,Brussel-Hoofdstad,Bruxelles-Capitale
1402,,Nivelles
2323,Turnhout,
2400,Turnhout,
5376,,Dinant
5530,,Dinant
5573,,Dinant
5361,,Dinant
3600,Hasselt,
3700,Tongeren,Tongres
3990,Maaseik,
8000,Brugge,
8400,Oostende,
8431,Oostende,
8572,Kortrijk,Courtrai
8630,Veurne,
8670,Veurne,
6671,,Bastogne
6810,,Virton
6832,,Neufchâteau
6952,,Marche-en-Famenne
6953,,Marche-en-Famenne
1745,Halle-Vilvoorde,Hal-Vilvorde
4120,,Liège
5576,,Dinant
5352,,Namur
5570,,Dinant
5644,,Namur
5522,,Dinant
3510,Hasselt,
3512,Hasselt,
8434,Oostende,
8560,Kortrijk,Courtrai
8908,Ieper,Ypres
8972,Ieper,Ypres
6782,,Arlon
6812,,Virton
6820,,Virton
9932,Gent,
9968,Eeklo,
9636,Oudenaarde,Audenarde
9041,Gent,
4861,,Verviers
4623,,Liège
4711,,Verviers
4651,,Verviers
4830,,Verviers
4431,,Liège
4261,,Waremme
4600,,Liège
7140,,La Louvière
6061,,Charleroi
7730,Doornik en Moeskroen,Tournai et Mouscron
7521,Doornik en Moeskroen,Tournai et Mouscron
7110,,La Louvière
6567,,Thuin
7334,,Mons
6211,,Charleroi
1070,Brussel-Hoofdstad,Bruxelles-Capitale
1325,,Nivelles
1440,,Nivelles
1457,,Nivelles
1470,,Nivelles
1490,,Nivelles
2620,Antwerpen,
2860,Mechelen,
2550,Antwerpen,
2390,Antwerpen,
2470,Turnhout,
2460,Turnhout,
2890,Mechelen,
2000,Antwerpen,
2140,Antwerpen,
6830,,Neufchâteau
1830,Halle-Vilvoorde,Hal-Vilvorde
3128,Leuven,
1933,Halle-Vilvoorde,Hal-Vilvorde
1703,Halle-Vilvoorde,Hal-Vilvorde
3050,Leuven,
1731,Halle-Vilvoorde,Hal-Vilvorde
3321,Leuven,
9690,Oudenaarde,Audenarde
9750,Oudenaarde,Audenarde
9070,Gent,
9661,Oudenaarde,Audenarde
9240,Dendermonde,
9080,Gent,
4860,,Verviers
1031,Brussel-Hoofdstad,Bruxelles-Capitale
1008,Brussel-Hoofdstad,Bruxelles-Capitale
1300,,Nivelles
1420,,Nivelles
4690,,Liège
4841,,Verviers
4130,,Liège
7863,Aat,Ath
6460,,Thuin
6511,,Thuin
7548,Doornik en Moeskroen,Tournai et Mouscron
7700,Doornik en Moeskroen,Tournai et Mouscron
8490,Brugge,
8552,Kortrijk,Courtrai
8730,Brugge,
8851,Tielt,
6666,,Bastogne
6690,,Bastogne
6730,,Virton
6747,,Virton
6890,,Neufchâteau
3440,Leuven,
3150,Leuven,
3404,Leuven,
3290,Leuven,
5370,,Dinant
5564,,Dinant
5555,,Dinant
5360,,Dinant
5032,,Namur
5380,,Namur
3621,Tongeren,Tongres
3770,Tongeren,Tongres
3790,Tongeren,Tongres
8210,Brugge,
8720,Tielt,
9930,Gent,
5334,,Namur
3545,Hasselt,
3001,Leuven,
9050,Gent,
9890,Gent,
4530,,Huy
4252,,Waremme
4783,,Verviers
4041,,Liège
4771,,Verviers
7033,,Mons
6593,,Thuin
6141,,Charleroi
7973,Aat,Ath
6596,,Thuin
7940,Aat,Ath
7781,Doornik en Moeskroen,Tournai et Mouscron
6441,,Thuin
7890,Aat,Ath
6238,,Charleroi
7063,Zinnik,Soignies
6224,,Charleroi
7030,,Mons
1180,Brussel-Hoofdstad,Bruxelles-Capitale
1421,,Nivelles
2230,Turnhout,
2100,Antwerpen,
5589,,Dinant
5620,,Philippeville
5575,,Dinant
5650,,Philippeville
8540,Kortrijk,Courtrai
8587,Kortrijk,Courtrai
8906,Ieper,Ypres
6663,,Bastogne
6724,,Virton
1935,Halle-Vilvoorde,Hal-Vilvorde
1851,Halle-Vilvoorde,Hal-Vilvorde
3090,Halle-Vilvoorde,Hal-Vilvorde
9099,Gent,
9220,Dendermonde,
9772,Oudenaarde,Audenarde
9992,Eeklo,
4263,,Waremme
4253,,Waremme
4850,,Verviers
4983,,Verviers
4030,,Liège
4837,,Verviers
4190,,Huy
4731,,Verviers
4950,,Verviers
4684,,Liège
4250,,Waremme
7540,Doornik en Moeskroen,Tournai et Mouscron
7181,Zinnik,Soignies
7760,Doornik en Moeskroen,Tournai et Mouscron
7530,Doornik en Moeskroen,Tournai et Mouscron
7618,Doornik en Moeskroen,Tournai et Mouscron
7912,Aat,Ath
6000,,Charleroi
7904,Doornik en Moeskroen,Tournai et Mouscron
7380,,Mons
7070,Zinnik,Soignies
1000,Brussel-Hoofdstad,Bruxelles-Capitale
1160,Brussel-Hoofdstad,Bruxelles-Capitale
1340,,Nivelles
2570,Mechelen,
2830,Mechelen,
2450,Turnhout,
2560,Mechelen,
2223,Mechelen,
2800,Mechelen,
5521,,Dinant
5100,,Namur
5332,,Namur
3680,Maaseik,
3740,Tongeren,Tongres
8940,Ieper,Ypres
8952,Ieper,Ypres
6637,,Bastogne
6674,,Bastogne
6830,,Neufchâteau
6941,,Marche-en-Famenne
3390,Leuven,
3202,Leuven,
1600,Halle-Vilvoorde,Hal-Vilvorde
3060,Leuven,
5190,,Namur
5010,,Namur
5101,,Namur
5524,,Dinant
3930,Maaseik,
3945,Hasselt,
8300,Brugge,
8531,Kortrijk,Courtrai
8790,Kortrijk,Courtrai
8792,Kortrijk,Courtrai
6920,,Neufchâteau
9521,Aalst,
4040,,Liège
4801,,Verviers
4280,,Waremme
4700,,Verviers
4357,,Waremme
4980,,Verviers
6001,,Charleroi
7970,Aat,Ath
7972,Aat,Ath
7803,Aat,Ath
6042,,Charleroi
612,Brussel-Hoofdstad,Bruxelles-Capitale
1000,Brussel-Hoofdstad,Bruxelles-Capitale
2275,Turnhout,
2650,Antwerpen,
2030,Antwerpen,
2950,Antwerpen,
6831,,Neufchâteau
6971,,Marche-en-Famenne
1804,Halle-Vilvoorde,Hal-Vilvorde
1671,Halle-Vilvoorde,Hal-Vilvorde
1730,Halle-Vilvoorde,Hal-Vilvorde
1702,Halle-Vilvoorde,Hal-Vilvorde
3111,Leuven,
1560,Halle-Vilvoorde,Hal-Vilvorde
1601,Halle-Vilvoorde,Hal-Vilvorde
9111,Sint-Niklaas,
9470,Aalst,
9950,Gent,
9688,Oudenaarde,Audenarde
9831,Gent,
9320,Aalst,
9090,Gent,
9230,Dendermonde,
9880,Gent,
9970,Eeklo,
9420,Aalst,
9260,Dendermonde,
4721,,Verviers
4350,,Waremme
4100,,Liège
4852,,Verviers
4218,,Huy
7511,Doornik en Moeskroen,Tournai et Mouscron
7800,Aat,Ath
7022,,Mons
7533,Doornik en Moeskroen,Tournai et Mouscron
7090,Zinnik,Soignies
7032,,Mons
1082,Brussel-Hoofdstad,Bruxelles-Capitale
1400,,Nivelles
2812,Mechelen,
2910,Antwerpen,
2990,Antwerpen,
5362,,Dinant
3631,Tongeren,Tongres
3971,Hasselt,
8500,Kortrijk,Courtrai
8710,Tielt,
6743,,Virton
6790,,Arlon
6811,,Virton
6856,,Neufchâteau
6887,,Neufchâteau
6972,,Marche-en-Famenne
3221,Leuven,
3000,Leuven,
1980,Halle-Vilvoorde,Hal-Vilvorde
3220,Leuven,
1861,Halle-Vilvoorde,Hal-Vilvorde
1760,Halle-Vilvoorde,Hal-Vilvorde
1670,Halle-Vilvoorde,Hal-Vilvorde
1755,Halle-Vilvoorde,Hal-Vilvorde
3460,Leuven,
3061,Leuven,
1547,Halle-Vilvoorde,Hal-Vilvorde
9400,Aalst,
9960,Eeklo,
9400,Aalst,
4650,,Verviers
4840,,Verviers
4537,,Huy
7513,Doornik en Moeskroen,Tournai et Mouscron
7850,Aat,Ath
7971,Aat,Ath
7501,Doornik en Moeskroen,Tournai et Mouscron
7160,,Charleroi
7643,Doornik en Moeskroen,Tournai et Mouscron
7642,Doornik en Moeskroen,Tournai et Mouscron
7870,,Mons
6543,,Thuin
7387,,Mons
1035,Brussel-Hoofdstad,Bruxelles-Capitale
1348,,Nivelles
1470,,Nivelles
2930,Antwerpen,
2920,Antwerpen,
2180,Antwerpen,
2660,Antwerpen,
612,,
5060,,Namur
5560,,Dinant
5374,,Dinant
3500,Hasselt,
3511,Hasselt,
3570,Tongeren,Tongres
3920,Maaseik,
8450,Oostende,
8501,Kortrijk,Courtrai
8510,Kortrijk,Courtrai
8551,Kortrijk,Courtrai
8793,Kortrijk,Courtrai
8860,Kortrijk,Courtrai
8950,Ieper,Ypres
8953,Ieper,Ypres
6750,,Virton
6762,,Virton
1652,Halle-Vilvoorde,Hal-Vilvorde
1701,Halle-Vilvoorde,Hal-Vilvorde
1620,Halle-Vilvoorde,Hal-Vilvorde
5680,,Philippeville
5330,,Namur
5562,,Dinant
3870,Tongeren,Tongres
8211,Brugge,
8890,Roeselare,
6984,,Marche-en-Famenne
4360,,Waremme
7880,Aat,Ath
3190,Leuven,
9800,Gent,
4780,,Verviers
4630,,Liège
4760,,Verviers
4171,,Liège
7538,Doornik en Moeskroen,Tournai et Mouscron
6530,,Thuin
6280,,Charleroi
6592,,Thuin
1009,Brussel-Hoofdstad,Bruxelles-Capitale
1048,Brussel-Hoofdstad,Bruxelles-Capitale
1080,Brussel-Hoofdstad,Bruxelles-Capitale
2600,Antwerpen,
2340,Turnhout,
2861,Mechelen,
2440,Turnhout,
2070,Antwerpen,
2880,Mechelen,
2221,Mechelen,
3078,Leuven,
3384,Leuven,
3191,Leuven,
4633,,Liège
6180,,Charleroi
7060,Zinnik,Soignies
6030,,Charleroi
6099,,Charleroi
6463,,Thuin
7742,Doornik en Moeskroen,Tournai et Mouscron
6183,,Charleroi
7390,,Mons
6220,,Charleroi
7133,,La Louvière
1212,Brussel-Hoofdstad,Bruxelles-Capitale
1210,Brussel-Hoofdstad,Bruxelles-Capitale
1083,Brussel-Hoofdstad,Bruxelles-Capitale
1190,Brussel-Hoofdstad,Bruxelles-Capitale
1357,,Nivelles
1367,,Nivelles
1428,,Nivelles
2540,Antwerpen,
2970,Antwerpen,
2290,Turnhout,
5353,,Namur
3540,Hasselt,
3668,Hasselt,
3890,Hasselt,
8902,Ieper,Ypres
8958,Ieper,Ypres
8980,Ieper,Ypres
6851,,Neufchâteau
6929,,Neufchâteau
6986,,Marche-en-Famenne
3471,Leuven,
3110,Leuven,
9255,Dendermonde,
9660,Oudenaarde,Audenarde
9551,Aalst,
4000,,Liège
4347,,Waremme
4791,,Verviers
4219,,Waremme
4052,,Liège
1741,Halle-Vilvoorde,Hal-Vilvorde
1982,Halle-Vilvoorde,Hal-Vilvorde
9620,Aalst,
9451,Aalst,
9000,Gent,
4550,,Huy
4653,,Verviers
4845,,Verviers
7340,,Mons
7900,Doornik en Moeskroen,Tournai et Mouscron
7812,Aat,Ath
7050,,Mons
7951,Aat,Ath
1012,Brussel-Hoofdstad,Bruxelles-Capitale
1007,Brussel-Hoofdstad,Bruxelles-Capitale
1140,Brussel-Hoofdstad,Bruxelles-Capitale
1360,,Nivelles
1430,,Nivelles
1476,,Nivelles
1495,,Nivelles
2430,Turnhout,
2328,Turnhout,
2820,Mechelen,
2260,Turnhout,
2811,Mechelen,
2110,Antwerpen,
5504,,Dinant
5574,,Dinant
3630,Tongeren,Tongres
3730,Tongeren,Tongres
8020,Brugge,
8200,Brugge,
8380,Brugge,
8420,Oostende,
8581,Kortrijk,Courtrai
6741,,Virton
6800,,Neufchâteau
6880,,Neufchâteau
6922,,Neufchâteau
6951,,Marche-en-Famenne
6982,,Marche-en-Famenne
1733,Halle-Vilvoorde,Hal-Vilvorde
1853,Halle-Vilvoorde,Hal-Vilvorde
1930,Halle-Vilvoorde,Hal-Vilvorde
3051,Leuven,
1740,Halle-Vilvoorde,Hal-Vilvorde
3461,Leuven,
5360,,Dinant
5646,,Namur
5503,,Dinant
5563,,Dinant
5002,,Namur
3832,Tongeren,Tongres
8600,Diksmuide,
8920,Ieper,Ypres
6720,,Virton
6823,,Virton
6927,,Neufchâteau
1500,Halle-Vilvoorde,Hal-Vilvorde
3454,Leuven,
1850,Halle-Vilvoorde,Hal-Vilvorde
1970,Halle-Vilvoorde,Hal-Vilvorde
9075,Gent,
9870,Gent,
9040,Gent,
9961,Eeklo,
9060,Eeklo,
9990,Eeklo,
4180,,Huy
4682,,Liège
4317,,Waremme
4340,,Liège
4460,,Liège
4720,,Verviers
7031,,Mons
7322,Aat,Ath
6043,,Charleroi
7621,Doornik en Moeskroen,Tournai et Mouscron
6222,,Charleroi
7866,Aat,Ath
7950,Aat,Ath
1047,Brussel-Hoofdstad,Bruxelles-Capitale
1099,Brussel-Hoofdstad,Bruxelles-Capitale
1040,Brussel-Hoofdstad,Bruxelles-Capitale
2380,Turnhout,
2020,Antwerpen,
2018,Antwerpen,
4701,,Verviers
6533,,Thuin
7120,,La Louvière
7534,Doornik en Moeskroen,Tournai et Mouscron
7543,Doornik en Moeskroen,Tournai et Mouscron
7943,Aat,Ath
6540,,Thuin
7536,Doornik en Moeskroen,Tournai et Mouscron
7901,Doornik en Moeskroen,Tournai et Mouscron
7903,Doornik en Moeskroen,Tournai et Mouscron
7141,,La Louvière
1011,Brussel-Hoofdstad,Bruxelles-Capitale
1030,Brussel-Hoofdstad,Bruxelles-Capitale
1450,,Nivelles
1461,,Nivelles
2840,Antwerpen,
5012,,Namur
5502,,Dinant
5572,,Dinant
5580,,Dinant
3560,Hasselt,
3690,Hasselt,
6723,,Virton
6820,,Virton
6940,,Marche-en-Famenne
1880,Halle-Vilvoorde,Hal-Vilvorde
1790,Halle-Vilvoorde,Hal-Vilvorde
3293,Leuven,
1785,Halle-Vilvoorde,Hal-Vilvorde
9406,Aalst,
9971,Eeklo,
9403,Aalst,
9940,Gent,
9982,Eeklo,
9572,Oudenaarde,Audenarde
9280,Dendermonde,
4610,,Liège
4851,,Verviers
4680,,Liège
4790,,Verviers
4800,,Verviers
4870,,Verviers
4800,,Verviers
4032,,Liège
5350,,Namur
5330,,Namur
5020,,Namur
3520,Hasselt,
3721,Tongeren,Tongres
8470,Oostende,
8580,Kortrijk,Courtrai
6780,,Arlon
9052,Gent,
9910,Gent,
4162,,Huy
4683,,Liège
4254,,Waremme
4650,,Verviers
4820,,Verviers
4654,,Verviers
4430,,Liège
6440,,Thuin
7911,Aat,Ath
7024,,Mons
7012,,Mons
6791,,Arlon
6960,,Marche-en-Famenne
1761,Halle-Vilvoorde,Hal-Vilvorde
7810,Aat,Ath
1044,Brussel-Hoofdstad,Bruxelles-Capitale
1380,,Nivelles
2099,Antwerpen,
2220,Mechelen,
2250,Turnhout,
2050,Antwerpen,
2288,Turnhout,
8511,Kortrijk,Courtrai
8780,Tielt,
6760,,Virton
3391,Leuven,
1980,Halle-Vilvoorde,Hal-Vilvorde
3071,Leuven,
5520,,Dinant
5070,,Namur
5336,,Namur
3670,Maaseik,
3732,Tongeren,Tongres
3940,Maaseik,
3960,Maaseik,
8340,Brugge,
8420,Oostende,
8573,Kortrijk,Courtrai
6706,,Arlon
3211,Leuven,
1910,Halle-Vilvoorde,Hal-Vilvorde
9120,Sint-Niklaas,
9520,Aalst,
9667,Oudenaarde,Audenarde
4452,,Liège
4101,,Liège
4210,,Huy
4802,,Verviers
4900,,Verviers
6470,,Thuin
7801,Aat,Ath
7080,,Mons
7811,Aat,Ath
6031,,Charleroi
7640,Doornik en Moeskroen,Tournai et Mouscron
7782,Doornik en Moeskroen,Tournai et Mouscron
7743,Doornik en Moeskroen,Tournai et Mouscron
6591,,Thuin
7180,Zinnik,Soignies
6182,,Charleroi
7011,,Mons
7502,Doornik en Moeskroen,Tournai et Mouscron
6590,,Thuin
7062,Zinnik,Soignies
6223,,Charleroi
1110,Brussel-Hoofdstad,Bruxelles-Capitale
1005,Brussel-Hoofdstad,Bruxelles-Capitale
1310,,Nivelles
2980,Antwerpen,
2960,Antwerpen,
2222,Mechelen,
2580,Mechelen,
8377,Brugge,
8432,Oostende,
8520,Kortrijk,Courtrai
6838,,Neufchâteau
6924,,Neufchâteau
1630,Halle-Vilvoorde,Hal-Vilvorde
3040,Leuven,
9,Leuven,
3000,Leuven,
1602,Halle-Vilvoorde,Hal-Vilvorde
3350,Leuven,
1932,Halle-Vilvoorde,Hal-Vilvorde
3070,Leuven,
5630,,Philippeville
5561,,Dinant
5140,,Namur
5660,,Philippeville
5031,,Namur
5570,,Dinant
3723,Tongeren,Tongres
3840,Tongeren,Tongres
3910,Maaseik,
8840,Roeselare,
6700,,Arlon
6824,,Virton
9550,Aalst,
9100,Sint-Niklaas,
9988,Eeklo,
9250,Dendermonde,
9150,Sint-Niklaas,
9810,Gent,
9400,Aalst,
4590,,Huy
4606,,Liège
4880,,Verviers
4831,,Verviers
4710,,Verviers
4453,,Liège
6060,,Charleroi
7040,,Mons
6536,,Thuin
7804,Aat,Ath
6542,,Thuin
6461,,Thuin
7531,Doornik en Moeskroen,Tournai et Mouscron
7532,Doornik en Moeskroen,Tournai et Mouscron
1000,Brussel-Hoofdstad,Bruxelles-Capitale
1390,,Nivelles
2235,Turnhout,
5310,,Namur
5670,,Philippeville
3792,Tongeren,Tongres
8620,Veurne,
8951,Ieper,Ypres
6670,,Bastogne
